USER	PID	LWP	NLWP	CPU	MEM	COMMAND
root	136	2	136	0.00	0.00	0:00 [kcompactd0]
root	137	2	137	0.00	0.00	0:00 [ksmd]
root	138	2	138	0.00	0.00	0:00 [khugepaged]
root	139	2	139	0.00	0.00	0:00 [kworker/R-kintegrityd]
root	140	2	140	0.00	0.00	0:00 [kworker/R-kblockd]
root	141	2	141	0.00	0.00	0:00 [kworker/R-blkcg_punt_bio]
root	143	2	143	0.00	0.00	0:00 [irq/9-acpi]
root	146	2	146	0.00	0.00	0:00 [kworker/R-tpm_dev_wq]
root	147	2	147	0.00	0.00	0:00 [kworker/R-ata_sff]
root	148	2	148	0.00	0.00	0:00 [kworker/R-md]
root	149	2	149	0.00	0.00	0:00 [kworker/R-md_bitmap]
root	150	2	150	0.00	0.00	0:00 [kworker/R-edac-poller]
root	152	2	152	0.00	0.00	0:00 [kworker/R-devfreq_wq]
root	154	2	154	0.00	0.00	0:00 [watchdogd]
root	156	2	156	0.00	0.00	0:02 [kworker/9:1H-i915_cleanup]
root	157	2	157	0.00	0.00	0:02 [kswapd0]
root	158	2	158	0.00	0.00	0:00 [ecryptfs-kthread]
root	159	2	159	0.00	0.00	0:00 [kworker/R-kthrotld]
root	160	2	160	0.00	0.00	0:00 [irq/123-pciehp]
root	161	2	161	0.00	0.00	0:00 [kworker/R-acpi_thermal_pm]
root	164	2	164	0.00	0.00	0:00 [hwrng]
root	165	2	165	0.00	0.00	0:00 [kworker/R-hfi-updates]
root	167	2	167	0.00	0.00	0:00 [kworker/R-mld]
root	168	2	168	0.00	0.00	0:01 [kworker/10:1H-events_highpri]
root	169	2	169	0.00	0.00	0:00 [kworker/R-ipv6_addrconf]
root	176	2	176	0.00	0.00	0:00 [kworker/R-kstrp]
root	178	2	178	0.00	0.00	0:01 [kworker/7:1-cgroup_destroy]
root	187	2	187	0.00	0.00	0:00 [kworker/u77:0]
root	201	2	201	0.00	0.00	0:00 [kworker/R-charger_manager]
root	202	2	202	0.00	0.00	0:02 [kworker/0:1H-i915_cleanup]
root	227	2	227	0.00	0.00	0:02 [kworker/1:1H-i915_cleanup]
root	231	2	231	0.00	0.00	0:00 [kworker/15:1H-kblockd]
root	232	2	232	0.00	0.00	0:02 [kworker/3:1H-i915_cleanup]
root	251	2	251	0.00	0.00	0:02 [kworker/8:1H-kblockd]
root	252	2	252	0.00	0.00	0:02 [kworker/5:1H-i915_cleanup]
root	253	2	253	0.00	0.00	0:01 [kworker/11:1H-i915_cleanup]
root	254	2	254	0.00	0.00	0:01 [kworker/6:1H-i915_cleanup]
root	255	2	255	0.00	0.00	0:01 [kworker/12:1H-i915_cleanup]
root	257	2	257	0.00	0.00	0:00 [kworker/2:1H-i915_cleanup]
root	263	2	263	0.00	0.00	0:01 [kworker/14:1H-i915_cleanup]
root	270	2	270	0.00	0.00	0:00 [kworker/7:1H-i915_cleanup]
root	287	2	287	0.00	0.00	0:01 [kworker/13:1H-i915_cleanup]
root	295	2	295	0.00	0.00	0:00 [kworker/4:1H-i915_cleanup]
root	314	2	314	0.00	0.00	0:00 [kworker/R-nvme-wq]
root	315	2	315	0.00	0.00	0:00 [kworker/R-nvme-reset-wq]
root	316	2	316	0.00	0.00	0:00 [kworker/R-nvme-delete-wq]
root	317	2	317	0.00	0.00	0:00 [kworker/R-nvme-auth-wq]
root	321	2	321	0.30	0.00	2:32 [irq/157-SYNA32EB:00]
root	362	2	362	0.00	0.00	0:04 [jbd2/nvme0n1p4-8]
