USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23824 14420 ?        Ss   09:19   0:03 /sbin/init splash
supprit     2591  0.0  0.0  39136 11972 ?        Ss   09:19   0:00 /snap/snapd-desktop-integration/343/usr/bin/snapd-desktop-integration
supprit     2593  0.2  0.1 408200 18704 ?        S<sl 09:19   1:55 /usr/bin/wireplumber
supprit     2595  0.2  0.2 143548 43852 ?        S<sl 09:19   1:44 /usr/bin/pipewire-pulse
supprit     2597  0.0  0.0 316916 10960 ?        SLsl 09:19   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
supprit     2611  0.0  0.0  12068  7584 ?        Ss   09:19   0:07 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
supprit     2658  0.0  0.0 610292  7376 ?        Ssl  09:19   0:00 /usr/libexec/xdg-document-portal
supprit     2662  0.0  0.0 309440  6176 ?        Ssl  09:19   0:00 /usr/libexec/xdg-permission-store
root        2669  0.0  0.0   2704  2024 ?        Ss   09:19   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
supprit     2692  0.0  0.0 235668  6260 tty2     Ssl+ 09:19   0:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
supprit     2701  0.0  0.1 298236 16360 tty2     Sl+  09:19   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
supprit     2765  0.0  0.0 162652  7012 ?        Ssl  09:19   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
supprit     2769  0.0  0.0  91548  5684 ?        Ssl  09:19   0:00 /usr/libexec/gnome-session-ctl --monitor
supprit     2786  0.0  0.0 314264  8336 ?        Ssl  09:19   0:00 /usr/libexec/gvfsd
supprit     2795  0.0  0.0 459708  7248 ?        Sl   09:19   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
supprit     2798  0.0  0.1 594364 18384 ?        Ssl  09:19   0:02 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
supprit     2832  0.0  0.0 382948  7964 ?        Sl   09:19   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
supprit     2844  0.0  0.0   9612  5360 ?        S    09:19   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
supprit     2845  5.9  2.1 5182088 339612 ?      Ssl  09:19  43:25 /usr/bin/gnome-shell
supprit     2935  0.0  0.0 236068  7684 ?        Sl   09:19   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
supprit     2965  0.0  0.1 654784 16068 ?        Sl   09:19   0:00 /usr/libexec/gnome-shell-calendar-server
supprit     2973  0.0  0.2 1275284 43212 ?       Ssl  09:19   0:00 /usr/libexec/evolution-source-registry
supprit     2977  0.0  0.2 432464 32936 ?        Sl   09:19   0:00 /snap/snapd-desktop-integration/343/usr/bin/snapd-desktop-integration
supprit     2987  0.0  0.1 2924756 25108 ?       Sl   09:19   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
supprit     2997  0.0  0.0 388840 12884 ?        Ssl  09:19   0:29 /usr/bin/ibus-daemon --panel disable
supprit     2998  0.0  0.0 383528  6736 ?        Ssl  09:19   0:00 /usr/libexec/gsd-a11y-settings
supprit     3008  0.0  0.1 412940 20228 ?        Ssl  09:19   0:00 /usr/libexec/gsd-color
supprit     3010  0.0  0.0 431680 12184 ?        Ssl  09:19   0:00 /usr/libexec/gsd-datetime
supprit     3016  0.0  0.0 458860  8024 ?        Ssl  09:19   0:01 /usr/libexec/gsd-housekeeping
supprit     3017  0.0  0.1 411796 20068 ?        Ssl  09:19   0:00 /usr/libexec/gsd-keyboard
supprit     3022  0.0  0.1 741640 25692 ?        Ssl  09:19   0:02 /usr/libexec/gsd-media-keys
supprit     3025  0.0  0.1 592948 26652 ?        Ssl  09:19   0:01 /usr/libexec/gsd-power
supprit     3028  0.0  0.0 323756 11600 ?        Ssl  09:19   0:00 /usr/libexec/gsd-print-notifications
supprit     3035  0.0  0.0 531084  6856 ?        Ssl  09:19   0:00 /usr/libexec/gsd-rfkill
supprit     3038  0.0  0.0 309688  6664 ?        Ssl  09:19   0:00 /usr/libexec/gsd-screensaver-proxy
supprit     3044  0.0  0.0 543460 13376 ?        Ssl  09:19   0:03 /usr/libexec/gsd-sharing
supprit     3052  0.0  0.0 385828  8108 ?        Ssl  09:19   0:00 /usr/libexec/gsd-smartcard
supprit     3063  0.0  0.0 393640  9908 ?        Ssl  09:19   0:00 /usr/libexec/gsd-sound
supprit     3066  0.0  0.1 412772 20860 ?        Ssl  09:19   0:00 /usr/libexec/gsd-wacom
supprit     3084  0.0  0.0 389324 10996 ?        Ssl  09:19   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
supprit     3096  0.0  0.3 903076 63296 ?        Sl   09:19   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
supprit     3112  0.0  0.0 236644  7200 ?        Sl   09:19   0:00 /usr/libexec/ibus-memconf
supprit     3119  0.0  0.1 421348 30084 ?        Sl   09:19   0:08 /usr/libexec/ibus-extension-gtk3
supprit     3137  0.0  0.0 310424  7144 ?        Sl   09:19   0:00 /usr/libexec/ibus-portal
supprit     3146  0.0  0.1 546804 21288 ?        Sl   09:19   0:00 /usr/libexec/goa-daemon
supprit     3148  0.0  0.0 305492  7884 ?        Sl   09:19   0:00 /usr/libexec/gsd-disk-utility-notify
supprit     3174  0.0  0.3 1995648 47880 ?       Ssl  09:19   0:30 /bin/warp-taskbar
supprit     3205  0.0  0.0 389124  8688 ?        Sl   09:19   0:00 /usr/libexec/goa-identity-service
supprit     3234  0.0  0.0 416236 15160 ?        Sl   09:19   0:00 /usr/libexec/gsd-printer
supprit     3248  0.0  0.1 964484 24692 ?        Ssl  09:19   0:00 /usr/libexec/evolution-calendar-factory
supprit     3264  0.0  0.0 389380  8116 ?        Ssl  09:19   0:01 /usr/libexec/gvfs-afc-volume-monitor
supprit     3293  0.0  0.0 309792  6764 ?        Ssl  09:19   0:00 /usr/libexec/gvfs-mtp-volume-monitor
